Filename,Extracted number,Midi 1,Midi 2,Trill speed
Audio 3_1.wav,31,63,77,1.349072512647555
Audio 4_1.wav,41,61,58,1.1784511784511786
Audio 5_1.wav,51,78,68,1.6863406408094437
Audio 6_1.wav,61,75,89,1.4450867052023122
Audio 7_1.wav,71,83,67,2.6929982046678638
Audio 8_1.wav,81,68,66,3.734439834024896
Audio 9_1.wav,91,88,78,1.1804384485666106
Audio 10_1.wav,101,68,86,1.2129380053908356
Audio 11_1.wav,111,68,62,3.590664272890485
Audio 12_1.wav,121,64,79,1.4362657091561941
Audio 13_1.wav,131,67,87,1.2786002691790042
Audio 14_1.wav,141,76,89,1.3480392156862744
Audio 15_1.wav,151,78,88,2.0215633423180597
Audio 16_1.wav,161,69,66,3.882725832012678
Audio 17_1.wav,171,65,58,1.6516516516516515
Audio 18_1.wav,181,59,58,1.8018018018018018
Audio 19_1.wav,191,85,81,5.733558178752109
Audio 20_1.wav,201,76,66,1.7307692307692306
Audio 21_1.wav,211,76,61,1.009421265141319
Audio 22_1.wav,221,89,85,3.8785834738617204
Audio 24_1.wav,241,77,62,1.3458950201884254
Audio 25_1.wav,251,62,83,1.3483146067415732
Audio 26_1.wav,261,62,83,1.2254901960784315
Audio 27_1.wav,271,63,65,5.269607843137255
Audio 28_1.wav,281,78,90,0.36855036855036855
Audio 29_1.wav,291,78,90,1.01123595505618
Audio 30_1.wav,301,90,78,1.0781671159029649
Audio 32_1.wav,321,68,78,1.5177065767284992
Audio 33_1.wav,331,78,89,1.5444015444015444
Audio 34_1.wav,341,64,85,1.2895662368112542
Audio 35_1.wav,351,67,86,1.2867647058823528
Audio 36_1.wav,361,83,59,0.8748317631224765
Audio 37_1.wav,371,58,65,1.4705882352941175
Audio 38_1.wav,381,63,78,1.2056737588652482
Audio 39_1.wav,391,61,84,1.0771992818671454
Audio 40_1.wav,401,63,70,1.6516516516516517
Audio 41_1.wav,411,87,68,1.349072512647555
Audio 43_1.wav,431,59,66,2.3569023569023573
Audio 44_1.wav,441,77,89,1.6157989228007181
Audio 45_1.wav,451,61,67,2.4719101123595504
Audio 46_1.wav,461,80,84,3.5645472061657038
Audio 47_1.wav,471,58,82,0.8974358974358975
Audio 48_1.wav,481,64,63,4.0540540540540535
Audio 49_1.wav,491,63,69,3.838174273858921
Audio 50_1.wav,501,78,89,1.6377649325626202
Audio 51_1.wav,511,79,84,4.045643153526971
Audio 52_1.wav,521,80,90,0.8716323296354993
Audio 53_1.wav,531,89,74,1.4184397163120568
Audio 54_1.wav,541,82,75,1.951951951951952
Audio 55_1.wav,551,67,66,5.684007707129095
Audio 56_1.wav,561,88,77,1.910112359550562
Audio 57_1.wav,571,61,85,0.9421265141318977
Audio 58_1.wav,581,64,74,1.5177065767284992
Audio 59_1.wav,591,82,62,1.2803234501347711
Audio 60_1.wav,601,58,60,4.986522911051213
Audio 61_1.wav,611,82,59,0.8567931456548348
Audio 62_1.wav,621,63,58,1.5015015015015014
Audio 63_1.wav,631,84,89,5.296229802513466
Audio 64_1.wav,641,66,66,0.0
Audio 65_1.wav,651,74,82,2.1235521235521237
Audio 66_1.wav,661,63,70,3.757225433526012
Audio 67_1.wav,671,88,76,2.3284313725490198
Audio 68_1.wav,681,67,78,1.830443159922929
Audio 69_1.wav,691,67,77,1.867219917012448
Audio 70_1.wav,701,64,58,1.851851851851852
Audio 71_1.wav,711,60,82,1.01010101010101
Audio 72_1.wav,721,84,64,1.2567324955116697
Audio 73_1.wav,731,76,60,0.7611241217798596
Audio 74_1.wav,741,62,85,1.1885895404120443
Audio 75_1.wav,751,62,69,4.253112033195021
Audio 76_1.wav,761,67,78,1.5414258188824663
Audio 77_1.wav,771,78,62,1.460674157303371
Audio 78_1.wav,781,77,66,1.7341040462427748
Audio 79_1.wav,791,65,59,2.6960784313725488
Audio 80_1.wav,801,66,65,4.720616570327554
Audio 81_1.wav,811,58,62,2.0833333333333335
Audio 82_1.wav,821,58,66,1.6172506738544474
Audio 83_1.wav,831,85,65,1.6157989228007181
Audio 84_1.wav,841,79,90,1.1029411764705883
